id,title,imageUrl,description,category,sizeCategory,dimensions,inspirationId1,inspirationUrl1,inspirationTitle1,inspirationId2,inspirationUrl2,inspirationTitle2,inspirationId3,inspirationUrl3,inspirationTitle3,inspirationId4,inspirationUrl4,inspirationTitle4,inspirationId5,inspirationUrl5,inspirationTitle5,inspirationId6,inspirationUrl6,inspirationTitle6
21,Stormtrooper (Star Wars),https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%20D.webp,,Animados,medio,24x10x10cm,21-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%201.webp,Stormtrooper (Star Wars) 1,21-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%202.webp,Stormtrooper (Star Wars) 2,21-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%203.webp,Stormtrooper (Star Wars) 3,21-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%204.webp,Stormtrooper (Star Wars) 4,21-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%205.webp,Stormtrooper (Star Wars) 5,21-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/21%20Stormtrooper%20(Star%20Wars)%206.webp,Stormtrooper (Star Wars) 6
22,Groot (Guardianes de la Galaxia),https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%20D.webp,,Animados,medio,24x13x10cm,22-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%201.webp,Groot (Guardianes de la Galaxia) 1,22-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%202.webp,Groot (Guardianes de la Galaxia) 2,22-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%203.webp,Groot (Guardianes de la Galaxia) 3,22-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%204.webp,Groot (Guardianes de la Galaxia) 4,22-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%205.webp,Groot (Guardianes de la Galaxia) 5,22-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/22%20Groot%20(Guardianes%20de%20la%20Galaxia)%206.webp,Groot (Guardianes de la Galaxia) 6
23,Garfield,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%20D.webp,,Animados,medio,25x15x11cm,23-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%201.webp,Garfield 1,23-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%202.webp,Garfield 2,23-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%203.webp,Garfield 3,23-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%204.webp,Garfield 4,23-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%205.webp,Garfield 5,23-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/23%20Garfield%206.webp,Garfield 6
24,Luigi,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%20D.webp,,Animados,medio,25x10x7cm,24-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%201.webp,Luigi 1,24-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%202.webp,Luigi 2,24-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%203.webp,Luigi 3,24-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%204.webp,Luigi 4,24-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%205.webp,Luigi 5,24-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/24%20Luigi%206.webp,Luigi 6
25,Tío Rico 1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%20D.webp,,Animados,medio,23x14x13cm,25-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%201.webp,Tío Rico 1,25-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%202.webp,Tío Rico 2,25-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%203.webp,Tío Rico 3,25-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%204.webp,Tío Rico 4,25-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%205.webp,Tío Rico 5,25-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/25%20Tio%20Rico%206.webp,Tío Rico 6
26,Astronauta sentado,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%20D.webp,,Astronauta,medio,21x12x14cm,26-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%201.webp,Astronauta sentado 1,26-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%202.webp,Astronauta sentado 2,26-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%203.webp,Astronauta sentado 3,26-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%204.webp,Astronauta sentado 4,26-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%205.webp,Astronauta sentado 5,26-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/26%20Astronauta%20sentado%206.webp,Astronauta sentado 6
27,Astronauta caminando,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%20D.webp,,Astronauta,medio,20x12x10cm,27-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%201.webp,Astronauta caminando 1,27-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%202.webp,Astronauta caminando 2,27-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%203.webp,Astronauta caminando 3,27-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%204.webp,Astronauta caminando 4,27-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%205.webp,Astronauta caminando 5,27-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/27%20Astronauta%20caminando%206.webp,Astronauta caminando 6
28,Astronauta planetas,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%20D.webp,,Astronauta,medio,25x11x10cm,28-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%201.webp,Astronauta planetas 1,28-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%202.webp,Astronauta planetas 2,28-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%203.webp,Astronauta planetas 3,28-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%204.webp,Astronauta planetas 4,28-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%205.webp,Astronauta planetas 5,28-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/28%20Astronauta%20planetas%206.webp,Astronauta planetas 6
29,León,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%20D.webp,,Animales,medio,20x9x11cm,29-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%201.webp,León 1,29-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%202.webp,León 2,29-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%203.webp,León 3,29-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%204.webp,León 4,29-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%205.webp,León 5,29-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/29%20Leon%206.webp,León 6
30,Dinosaurio ejecutivo,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%20D.webp,,Animales,medio,17x13x14cm,30-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%201.webp,Dinosaurio ejecutivo 1,30-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%202.webp,Dinosaurio ejecutivo 2,30-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%203.webp,Dinosaurio ejecutivo 3,30-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%204.webp,Dinosaurio ejecutivo 4,30-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%205.webp,Dinosaurio ejecutivo 5,30-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/30%20Dinosaurio%20ejecutivo%206.webp,Dinosaurio ejecutivo 6
31,Elefantes,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%20D.webp,,Animales,medio,20x21x10cm,31-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%201.webp,Elefantes 1,31-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%202.webp,Elefantes 2,31-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%203.webp,Elefantes 3,31-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%204.webp,Elefantes 4,31-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%205.webp,Elefantes 5,31-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/31%20Elefantes%206.webp,Elefantes 6
32,Gato con flores,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%20D.webp,,Animales,medio,24x23x9cm,32-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%201.webp,Gato con flores 1,32-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%202.webp,Gato con flores 2,32-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%203.webp,Gato con flores 3,32-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%204.webp,Gato con flores 4,32-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%205.webp,Gato con flores 5,32-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/32%20Gato%20con%20flores%206.webp,Gato con flores 6
33,Africana con flor,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%20D.webp,,Africanas,plus,31x15x9cm,33-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%201.webp,Africana con flor 1,33-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%202.webp,Africana con flor 2,33-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%203.webp,Africana con flor 3,33-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%204.webp,Africana con flor 4,33-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%205.webp,Africana con flor 5,33-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/33%20Africana%20con%20flor%206.webp,Africana con flor 6
34,Africana con flores,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%20D.webp,,Africanas,plus,30x20x11cm,34-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%201.webp,Africana con flores 1,34-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%202.webp,Africana con flores 2,34-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%203.webp,Africana con flores 3,34-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%204.webp,Africana con flores 4,34-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%205.webp,Africana con flores 5,34-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/34%20Africana%20con%20flores%206.webp,Africana con flores 6
35,Bugs Bunny,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%20D.webp,,Animados,plus,28x13x9cm,35-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%201.webp,Bugs Bunny 1,35-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%202.webp,Bugs Bunny 2,35-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%203.webp,Bugs Bunny 3,35-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%204.webp,Bugs Bunny 4,35-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%205.webp,Bugs Bunny 5,35-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/35%20Bugs%20Bunny%206.webp,Bugs Bunny 6
36,Popobe,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%20D.webp,,Animados,plus,28x14x8cm,36-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%201.webp,Popobe 1,36-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%202.webp,Popobe 2,36-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%203.webp,Popobe 3,36-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%204.webp,Popobe 4,36-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%205.webp,Popobe 5,36-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/36%20Popobe%206.webp,Popobe 6
37,Catrina,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%20D.webp,,Religioso,plus,32x10x9cm,37-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%201.webp,Catrina 1,37-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%202.webp,Catrina 2,37-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%203.webp,Catrina 3,37-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%204.webp,Catrina 4,37-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%205.webp,Catrina 5,37-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/37%20Catrina%206.webp,Catrina 6
38,Catrín,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%20D.webp,,Religioso,plus,32x11x7cm,38-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%201.webp,Catrín 1,38-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%202.webp,Catrín 2,38-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%203.webp,Catrín 3,38-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%204.webp,Catrín 4,38-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%205.webp,Catrín 5,38-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/38%20Catrin%206.webp,Catrín 6
39,Gokú Genkidama,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%20D.webp,,Animados,plus,35x13x9cm,39-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%201.webp,Gokú Genkidama 1,39-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%202.webp,Gokú Genkidama 2,39-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%203.webp,Gokú Genkidama 3,39-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%204.webp,Gokú Genkidama 4,39-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%205.webp,Gokú Genkidama 5,39-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/39%20Goku%20Genkidama%206.webp,Gokú Genkidama 6
40,Tío Rico 2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%20D.webp,,Animados,plus,32x19x15cm,40-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%201.webp,Tío Rico 1,40-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%202.webp,Tío Rico 2,40-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%203.webp,Tío Rico 3,40-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%204.webp,Tío Rico 4,40-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%205.webp,Tío Rico 5,40-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/40%20Tio%20Rico%206.webp,Tío Rico 6
41,Gokú,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%20B.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%20C.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%20D.webp,,Animados,extra,39x18x10cm,41-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%201.webp,Gokú 1,41-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%202.webp,Gokú 2,41-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%203.webp,Gokú 3,41-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%204.webp,Gokú 4,41-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%205.webp,Gokú 5,41-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/41%20Goku%206.webp,Gokú 6
42,Jarrón circular,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%20A.webp|https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%20B.webp,,Jarrones,extra,23x21x7cm,42-1,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%201.webp,Jarrón circular 1,42-2,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%202.webp,Jarrón circular 2,42-3,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%203.webp,Jarrón circular 3,42-4,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%204.webp,Jarrón circular 4,42-5,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%205.webp,Jarrón circular 5,42-6,https://raw.githubusercontent.com/calmo-brand/calmo-host/main/img/figure/42%20Jarron%20circular%206.webp,Jarrón circular 6
